老,08001
考,08003
孝,05b5d
教,06559
拷,062f7
者,08005
煮,0716e
著,08457
箸,07bb8
署,07f72
暑,06691
諸,08af8
猪,0732a
渚,06e1a
賭,08ced
峡,05ce1
狭,072ed
挟,0631f
頬,0982c
追,08ffd
阜,0961c
師,05e2b
帥,05e25
官,05b98
棺,068fa
管,07ba1
父,07236
釜,091dc
交,04ea4
効,052b9
較,08f03
校,06821
足,08db3
促,04fc3
捉,06349
距,08ddd
路,08def
露,09732
跳,08df3
躍,08e8d
践,08df5
踏,08e0f
踪,08e2a
骨,09aa8
滑,06ed1
髄,09ac4
禍,0798d
渦,06e26
鍋,0934b
過,0904e
阪,0962a
阿,0963f
際,0969b
障,0969c
隙,09699
随,0968f
陪,0966a
陽,0967d
陳,09673
防,09632
附,09644
院,09662
陣,09663
隊,0968a
墜,0589c
降,0964d
階,0968e
陛,0965b
隣,096a3
隔,09694
隠,096a0
堕,05815
陥,09665
穴,07a74
空,07a7a
控,063a7
突,07a81
究,07a76
窒,07a92
窃,07a83
窟,07a9f
窪,07aaa
搾,0643e
窯,07aaf
窮,07aae
探,063a2
深,06df1
丘,04e18
岳,05cb3
兵,05175
浜,06d5c
糸,07cf8
織,07e54
繕,07e55
縮,07e2e
繁,07e41
縦,07e26
緻,07dfb
線,07dda
綻,07dbb
締,07de0
維,07dad
羅,07f85
練,07df4
緒,07dd2
続,07d9a
絵,07d75
統,07d71
絞,07d5e
給,07d66
絡,07d61
結,07d50
終,07d42
級,07d1a
紀,07d00
紅,07d05
納,07d0d
紡,07d21
紛,07d1b
紹,07d39
経,07d4c
紳,07d33
約,07d04
細,07d30
累,07d2f
索,07d22
総,07dcf
綿,07dbf
絹,07d79
繰,07e70
継,07d99
緑,07dd1
縁,07e01
網,07db2
緊,07dca
紫,07d2b
縛,07e1b
縄,07e04
幼,05e7c
後,05f8c
幽,05e7d
幾,05e7e
機,06a5f
畿,0757f
玄,07384
畜,0755c
蓄,084c4
弦,05f26
擁,064c1
滋,06ecb
慈,06148
磁,078c1
系,07cfb
係,04fc2
孫,05b6b
懸,061f8
遜,0905c
却,05374
脚,0811a
卸,05378
御,05fa1
服,0670d
命,0547d
令,04ee4
零,096f6
齢,09f62
冷,051b7
領,09818
鈴,09234
勇,052c7
湧,06e67
通,0901a
踊,08e0a
疑,07591
擬,064ec
凝,051dd
範,07bc4
犯,072af
氾,06c3e
厄,05384
危,05371
宛,05b9b
腕,08155
苑,082d1
怨,06028
柳,067f3
卵,05375
留,07559
瑠,07460
貿,08cbf
印,05370
臼,081fc
毀,06bc0
興,08208
酉,09149
酒,09152
酌,0914c
酎,0914e
酵,09175
酷,09177
酬,0916c
酪,0916a
酢,09162
酔,09154
配,0914d
酸,09178
猶,07336
尊,05c0a
豆,08c46
頭,0982d
短,077ed
豊,08c4a
鼓,09f13
喜,0559c
樹,06a39
皿,076bf
血,08840
盆,076c6
盟,076df
盗,076d7
温,06e29
蓋,084cb
監,076e3
濫,06feb
鑑,09451
藍,085cd
猛,0731b
盛,076db
塩,05869
銀,09280
恨,06068
根,06839
即,05373
爵,07235
節,07bc0
退,09000
限,09650
眼,0773c
良,0826f
朗,06717
浪,06d6a
娘,05a18
食,098df
飯,098ef
飲,098f2
飢,098e2
餓,09913
飾,098fe
餌,0990c
館,09928
餅,09905
養,0990a
飽,098fd
既,065e2
概,06982
慨,06168
平,05e73
呼,0547c
坪,0576a
評,08a55
刈,05208
刹,05239
希,05e0c
凶,051f6
胸,080f8
離,096e2
璃,07483
殺,06bba
爽,0723d
純,07d14
頓,09813
鈍,0920d
辛,08f9b
辞,08f9e
梓,06893
宰,05bb0
壁,058c1
璧,074a7
避,0907f
新,065b0
薪,085aa
親,089aa
幸,05e78
執,057f7
摯,0646f
報,05831
叫,053eb
糾,07cfe
収,053ce
卑,05351
碑,07891
陸,09678
睦,07766
勢,052e2
熱,071b1
菱,083f1
陵,09675
亥,04ea5
核,06838
刻,0523b
該,08a72
骸,09ab8
劾,052be
述,08ff0
術,08853
寒,05bd2
塞,0585e
醸,091b8
譲,08b72
壌,058cc
嬢,05b22
毒,06bd2
素,07d20
麦,09ea6
青,09752
精,07cbe
請,08acb
情,060c5
晴,06674
清,06e05
静,09759
責,08cac
績,07e3e
積,07a4d
債,050b5
漬,06f2c
表,08868
俵,04ff5
潔,06f54
契,05951
喫,055ab
害,05bb3
轄,08f44
割,05272
憲,061b2
生,0751f
星,0661f
醒,09192
姓,059d3
性,06027
牲,07272
産,07523
隆,09686
峰,05cf0
蜂,08702
縫,07e2b
拝,062dd
寿,05bff
鋳,092f3
籍,07c4d
春,06625
椿,0693f
泰,06cf0
奏,0594f
実,05b9f
奉,05949
俸,04ff8
棒,068d2
謹,08b39
僅,050c5
勤,052e4
漢,06f22
嘆,05606
難,096e3
華,083ef
垂,05782
唾,0553e
睡,07761
錘,09318
乗,04e57
剰,05270
今,04eca
含,0542b
貪,08caa
吟,0541f
念,05ff5
捻,0637b
琴,07434
陰,09670
予,04e88
序,05e8f
預,09810
野,091ce
兼,0517c
嫌,05acc
鎌,0938c
謙,08b19
廉,05ec9
西,0897f
価,04fa1
要,08981
腰,08170
票,07968
漂,06f02
標,06a19
栗,06817
慄,06144
遷,09077
覆,08986
煙,07159
南,05357
楠,06960
献,0732e
門,09580
問,0554f
閲,095b2
閥,095a5
間,09593
闇,095c7
簡,07c21
開,0958b
閉,09589
閣,095a3
閑,09591
聞,0805e
潤,06f64
欄,06b04
闘,095d8
倉,05009
創,05275
非,0975e
俳,04ff3
排,06392
悲,060b2
罪,07f6a
輩,08f29
扉,06249
侯,04faf
喉,05589
候,05019
決,06c7a
快,05feb
偉,05049
違,09055
緯,07def
衛,0885b
韓,097d3
干,05e72
肝,0809d
刊,0520a
汗,06c57
軒,08ed2
岸,05cb8
幹,05e79
芋,0828b
宇,05b87
余,04f59
除,09664
徐,05f90
叙,053d9
途,09014
斜,0659c
塗,05857
束,0675f
頼,0983c
瀬,0702c
勅,052c5
疎,0758e
辣,08fa3
速,0901f
整,06574
剣,05263
険,0967a
検,0691c
倹,05039
重,091cd
動,052d5
腫,0816b
勲,052f2
働,050cd
種,07a2e
衝,0885d
薫,085ab
病,075c5
痴,075f4
痘,075d8
症,075c7
瘍,0760d
痩,075e9
疾,075be
嫉,05ac9
痢,075e2
痕,075d5
疲,075b2
疫,075ab
痛,075db
癖,07656
匿,0533f
匠,05320
医,0533b
匹,05339
区,0533a
枢,067a2
殴,06bb4
欧,06b27
抑,06291
仰,04ef0
迎,08fce
登,0767b
澄,06f84
発,0767a
廃,05ec3
僚,050da
瞭,077ad
寮,05bee
療,07642
彫,05f6b
形,05f62
影,05f71
杉,06749
彩,05f69
彰,05f70
彦,05f66
顔,09854
須,09808
膨,081a8
参,053c2
惨,060e8
修,04fee
珍,073cd
診,08a3a
文,06587
対,05bfe
紋,07d0b
蚊,0868a
斑,06591
斉,06589
剤,05264
済,06e08
斎,0658e
粛,07c9b
塁,05841
楽,0697d
薬,085ac
率,07387
渋,06e0b
摂,06442
央,0592e
英,082f1
映,06620
赤,08d64
赦,08d66
変,05909
跡,08de1
蛮,086ee
恋,0604b
湾,06e7e
黄,09ec4
横,06a2a
把,0628a
色,08272
絶,07d76
艶,08276
肥,080a5
甘,07518
紺,07d3a
某,067d0
謀,08b00
媒,05a92
欺,06b3a
棋,068cb
旗,065d7
期,0671f
碁,07881
基,057fa
甚,0751a
勘,052d8
堪,0582a
貴,08cb4
遺,0907a
遣,09063
潰,06f70
舞,0821e
無,07121
組,07d44
粗,07c97
租,079df
狙,072d9
祖,07956
阻,0963b
査,067fb
助,052a9
宜,05b9c
畳,07573
並,04e26
普,0666e
譜,08b5c
湿,06e7f
顕,09855
繊,07e4a
霊,0970a
業,0696d
撲,064b2
僕,050d5
共,05171
供,04f9b
異,07570
翼,07ffc
戴,06234
洪,06d2a
港,06e2f
暴,066b4
爆,07206
恭,0606d
選,09078
殿,06bbf
井,04e95
丼,04e3c
囲,056f2
耕,08015
亜,04e9c
悪,060aa
円,05186
角,089d2
触,089e6
解,089e3
再,0518d
講,08b1b
購,08cfc
構,069cb
溝,06e9d
論,08ad6
倫,0502b
輪,08f2a
偏,0504f
遍,0904d
編,07de8
冊,0518a
柵,067f5
典,05178
氏,06c0f
紙,07d19
婚,05a5a
低,04f4e
抵,062b5
底,05e95
民,06c11
眠,07720
捕,06355
哺,054fa
浦,06d66
蒲,084b2
舗,08217
補,088dc
邸,090b8
郭,090ed
郡,090e1
郊,090ca
